"SeedToken 名称","MapToken 名称","AliasToken 名称","继承说明"
"colorPrimary","colorPrimaryBg","colorLink","继承自 colorPrimary（原色），映射为链接色"
"colorPrimary","colorPrimaryBgHover","colorLinkHover","继承自 colorPrimary（原色），映射为链接色 Hover"
"colorPrimary","colorPrimaryHover","colorLinkHover","继承自 colorPrimary（原色），映射为链接色 Hover"
"colorPrimary","colorPrimaryActive","colorLinkActive","继承自 colorPrimary（原色），映射为链接色 Active"
"colorPrimary","colorPrimaryBorder","colorLinkBorder","继承自 colorPrimary（原色），映射为链接色 Border"
"colorPrimary","colorPrimaryText","colorLinkText","继承自 colorPrimary（原色），映射为链接色文本"
"colorSuccess","colorSuccessBg","colorSuccessBg","继承自 colorSuccess（成功色），映射为成功色背景"
"colorSuccess","colorSuccessHover","colorSuccessHover","继承自 colorSuccess（成功色），映射为成功色 Hover"
"colorWarning","colorWarningBg","colorWarningBg","继承自 colorWarning（警告色），映射为警告色背景"
"colorError","colorErrorBg","colorErrorBg","继承自 colorError（错误色），映射为错误色背景"
"colorText","colorTextBase","colorText","继承自 colorText（基础文本色），映射为组件通用文本色"
"colorTextSecondary","colorTextSecondary","colorTextSecondary","继承自 colorTextSecondary（次级文本色），直接用作 Alias"
"colorTextQuaternary","colorTextDisabled","colorTextDisabled","继承自 colorTextQuaternary（失效文本色），映射为禁用文本色"
"colorBgBase","colorBgBase","colorBackground","继承自 colorBgBase（背景色），映射为基础背景色"
"colorBgContainer","colorBgContainer","colorComponentBg","继承自 colorBgContainer（组件背景色），映射为组件背景色"
"colorBgContainer","colorBgLayout","colorBackgroundSecondary","继承自 colorBgContainer（组件背景色），映射为次级背景色"
"colorBgBase","colorBgLayout","colorBackgroundHover","继承自 colorBgLayout（页面背景色），映射为 hover 状态背景色"
"fontSize","fontSizeSM","fontSizeBase","继承自 fontSize（字体大小），映射为基础字体大小"
"fontSizeSM","fontSizeSM","fontSizeSmall","继承自 fontSizeSM（小号字体），直接映射为小号字体"
"fontSize","fontSizeLG","fontSizeLarge","继承自 fontSize（字体大小），映射为大号字体"
"fontSizeHeading1","fontSizeHeading1","fontSizeHeading1","继承自 fontSizeHeading1（标题字体），直接映射为标题1字号"
"fontSizeHeading2","fontSizeHeading2","fontSizeHeading2","继承自 fontSizeHeading2（标题字体），直接映射为标题2字号"
"fontSizeHeading3","fontSizeHeading3","fontSizeHeading3","继承自 fontSizeHeading3（标题字体），直接映射为标题3字号"
"fontSizeHeading4","fontSizeHeading4","fontSizeHeading4","继承自 fontSizeHeading4（标题字体），直接映射为标题4字号"
"fontSizeHeading5","fontSizeHeading5","fontSizeHeading5","继承自 fontSizeHeading5（标题字体），直接映射为标题5字号"
"lineHeight","lineHeight","lineHeightBase","继承自 lineHeight（行高），映射为基础行高"
"lineHeightSM","lineHeightSM","lineHeightSmall","继承自 lineHeightSM（小行高），映射为小号行高"
"lineHeightLG","lineHeightLG","lineHeightLarge","继承自 lineHeightLG（大行高），映射为大号行高"
"controlHeightSM","controlHeightSM","controlHeightSmall","继承自 controlHeightSM（控件高度小），映射为小控件"
"controlHeight","controlHeight","controlHeightDefault","继承自 controlHeight（控件高度），映射为默认控件"
"controlHeightLG","controlHeightLG","controlHeightLarge","继承自 controlHeightLG（控件高度大），映射为大控件"
"controlFontSize","controlFontSize","controlFontSizeBase","继承自 controlFontSize（控件字体大小），映射为基础控件字体"
"controlFontSizeSM","controlFontSizeSM","controlFontSizeSmall","继承自 controlFontSizeSM（控件字体小），映射为小号控件字体"
"controlFontSizeLG","controlFontSizeLG","controlFontSizeLarge","继承自 controlFontSizeLG（控件字体大），映射为大号控件字体"
"controlPaddingHorizontal","controlPaddingHorizontal","controlPaddingHorizontalDefault","继承自 controlPaddingHorizontal（控件水平内边距），映射为默认控件水平内边距"
"controlPaddingVertical","controlPaddingVertical","controlPaddingVerticalDefault","继承自 controlPaddingVertical（控件垂直内边距），映射为默认控件垂直内边距"
"borderRadius","borderRadius","borderRadiusBase","继承自 borderRadius（圆角），映射为默认圆角"
"borderRadiusSM","borderRadiusSM","borderRadiusSmall","继承自 borderRadiusSM（小号圆角），映射为小圆角"
"borderRadiusLG","borderRadiusLG","borderRadiusLarge","继承自 borderRadiusLG（大号圆角），映射为大圆角"
"borderRadiusOuter","borderRadiusOuter","borderRadiusOuter","继承自 borderRadiusOuter（外部圆角），直接映射为外部圆角"
"lineWidth","lineWidth","borderWidth","继承自 lineWidth（线宽），映射为默认线宽"
"lineWidthBold","lineWidthBold","borderWidthBold","继承自 lineWidthBold（粗线宽），映射为粗线宽"
"motionDurationFast","motionDurationFast","motionDurationFast","继承自 motionDurationFast（快速动画），直接映射为快速动画时长"
"motionDurationMid","motionDurationMid","motionDurationMedium","继承自 motionDurationMid（中速动画），映射为中等动画时长"
"motionDurationSlow","motionDurationSlow","motionDurationSlow","继承自 motionDurationSlow（慢速动画），直接映射为慢速动画时长"
"motionEaseInOut","motionEaseInOut","motionEaseInOut","继承自 motionEaseInOut（标准缓动），直接映射为标准缓动"
"motionEaseOutBack","motionEaseOutBack","motionEaseOutBack","继承自 motionEaseOutBack（回弹缓动），直接映射为回弹缓动"
