Token 名称, 值, 来源类型(seed/map/alias)
blue, "#1677FF", alias
purple, "#722ED1", alias
cyan, "#13C2C2", alias
green, "#52C41A", alias
magenta, "#EB2F96", alias
pink, "#EB2F96", alias
red, "#F5222D", alias
orange, "#FA8C16", alias
yellow, "#FADB14", alias
volcano, "#FA541C", alias
geekblue, "#2F54EB", alias
gold, "#FAAD14", alias
lime, "#A0D911", alias
colorPrimary, "#1668dc", alias
colorSuccess, "#49aa19", alias
colorWarning, "#d89614", alias
colorError, "#dc4446", alias
colorInfo, "#1668dc", alias
colorLink, "#1668dc", alias
colorTextBase, "#fff", alias
colorBgBase, "#000", alias
fontFamily, "-apple-system， BlinkMacSystemFont， 'Segoe UI'， Roboto， 'Helvetica Neue'， Arial，'Noto Sans'， sans-serif， 'Apple Color Emoji'， 'Segoe UI Emoji'， 'Segoe UI Symbol'，'Noto Color Emoji'", alias
fontFamilyCode, "'SFMono-Regular'， Consolas， 'Liberation Mono'， Menlo， Courier， monospace", alias
fontSize, "14", alias
lineWidth, "1", alias
lineType, "solid", alias
motionUnit, "0.1", alias
motionBase, "0", alias
motionEaseOutCirc, "cubic-bezier(0.08， 0.82， 0.17， 1)", alias
motionEaseInOutCirc, "cubic-bezier(0.78， 0.14， 0.15， 0.86)", alias
motionEaseOut, "cubic-bezier(0.215， 0.61， 0.355， 1)", alias
motionEaseInOut, "cubic-bezier(0.645， 0.045， 0.355， 1)", alias
motionEaseOutBack, "cubic-bezier(0.12， 0.4， 0.29， 1.46)", alias
motionEaseInBack, "cubic-bezier(0.71， -0.46， 0.88， 0.6)", alias
motionEaseInQuint, "cubic-bezier(0.755， 0.05， 0.855， 0.06)", alias
motionEaseOutQuint, "cubic-bezier(0.23， 1， 0.32， 1)", alias
borderRadius, "6", alias
sizeUnit, "4", alias
sizeStep, "4", alias
sizePopupArrow, "16", alias
controlHeight, "32", alias
zIndexBase, "0", alias
zIndexPopupBase, "1000", alias
opacityImage, "1", alias
wireframe, "false", alias
motion, "true", alias
blue-1, "#111a2c", alias
blue1, "#111a2c", alias
blue-2, "#112545", alias
blue2, "#112545", alias
blue-3, "#15325b", alias
blue3, "#15325b", alias
blue-4, "#15417e", alias
blue4, "#15417e", alias
blue-5, "#1554ad", alias
blue5, "#1554ad", alias
blue-6, "#1668dc", alias
blue6, "#1668dc", alias
blue-7, "#3c89e8", alias
blue7, "#3c89e8", alias
blue-8, "#65a9f3", alias
blue8, "#65a9f3", alias
blue-9, "#8dc5f8", alias
blue9, "#8dc5f8", alias
blue-10, "#b7dcfa", alias
blue10, "#b7dcfa", alias
purple-1, "#1a1325", alias
purple1, "#1a1325", alias
purple-2, "#24163a", alias
purple2, "#24163a", alias
purple-3, "#301c4d", alias
purple3, "#301c4d", alias
purple-4, "#3e2069", alias
purple4, "#3e2069", alias
purple-5, "#51258f", alias
purple5, "#51258f", alias
purple-6, "#642ab5", alias
purple6, "#642ab5", alias
purple-7, "#854eca", alias
purple7, "#854eca", alias
purple-8, "#ab7ae0", alias
purple8, "#ab7ae0", alias
purple-9, "#cda8f0", alias
purple9, "#cda8f0", alias
purple-10, "#ebd7fa", alias
purple10, "#ebd7fa", alias
cyan-1, "#112123", alias
cyan1, "#112123", alias
cyan-2, "#113536", alias
cyan2, "#113536", alias
cyan-3, "#144848", alias
cyan3, "#144848", alias
cyan-4, "#146262", alias
cyan4, "#146262", alias
cyan-5, "#138585", alias
cyan5, "#138585", alias
cyan-6, "#13a8a8", alias
cyan6, "#13a8a8", alias
cyan-7, "#33bcb7", alias
cyan7, "#33bcb7", alias
cyan-8, "#58d1c9", alias
cyan8, "#58d1c9", alias
cyan-9, "#84e2d8", alias
cyan9, "#84e2d8", alias
cyan-10, "#b2f1e8", alias
cyan10, "#b2f1e8", alias
green-1, "#162312", alias
green1, "#162312", alias
green-2, "#1d3712", alias
green2, "#1d3712", alias
green-3, "#274916", alias
green3, "#274916", alias
green-4, "#306317", alias
green4, "#306317", alias
green-5, "#3c8618", alias
green5, "#3c8618", alias
green-6, "#49aa19", alias
green6, "#49aa19", alias
green-7, "#6abe39", alias
green7, "#6abe39", alias
green-8, "#8fd460", alias
green8, "#8fd460", alias
green-9, "#b2e58b", alias
green9, "#b2e58b", alias
green-10, "#d5f2bb", alias
green10, "#d5f2bb", alias
magenta-1, "#291321", alias
magenta1, "#291321", alias
magenta-2, "#40162f", alias
magenta2, "#40162f", alias
magenta-3, "#551c3b", alias
magenta3, "#551c3b", alias
magenta-4, "#75204f", alias
magenta4, "#75204f", alias
magenta-5, "#a02669", alias
magenta5, "#a02669", alias
magenta-6, "#cb2b83", alias
magenta6, "#cb2b83", alias
magenta-7, "#e0529c", alias
magenta7, "#e0529c", alias
magenta-8, "#f37fb7", alias
magenta8, "#f37fb7", alias
magenta-9, "#f8a8cc", alias
magenta9, "#f8a8cc", alias
magenta-10, "#fad2e3", alias
magenta10, "#fad2e3", alias
pink-1, "#291321", alias
pink1, "#291321", alias
pink-2, "#40162f", alias
pink2, "#40162f", alias
pink-3, "#551c3b", alias
pink3, "#551c3b", alias
pink-4, "#75204f", alias
pink4, "#75204f", alias
pink-5, "#a02669", alias
pink5, "#a02669", alias
pink-6, "#cb2b83", alias
pink6, "#cb2b83", alias
pink-7, "#e0529c", alias
pink7, "#e0529c", alias
pink-8, "#f37fb7", alias
pink8, "#f37fb7", alias
pink-9, "#f8a8cc", alias
pink9, "#f8a8cc", alias
pink-10, "#fad2e3", alias
pink10, "#fad2e3", alias
red-1, "#2a1215", alias
red1, "#2a1215", alias
red-2, "#431418", alias
red2, "#431418", alias
red-3, "#58181c", alias
red3, "#58181c", alias
red-4, "#791a1f", alias
red4, "#791a1f", alias
red-5, "#a61d24", alias
red5, "#a61d24", alias
red-6, "#d32029", alias
red6, "#d32029", alias
red-7, "#e84749", alias
red7, "#e84749", alias
red-8, "#f37370", alias
red8, "#f37370", alias
red-9, "#f89f9a", alias
red9, "#f89f9a", alias
red-10, "#fac8c3", alias
red10, "#fac8c3", alias
orange-1, "#2b1d11", alias
orange1, "#2b1d11", alias
orange-2, "#442a11", alias
orange2, "#442a11", alias
orange-3, "#593815", alias
orange3, "#593815", alias
orange-4, "#7c4a15", alias
orange4, "#7c4a15", alias
orange-5, "#aa6215", alias
orange5, "#aa6215", alias
orange-6, "#d87a16", alias
orange6, "#d87a16", alias
orange-7, "#e89a3c", alias
orange7, "#e89a3c", alias
orange-8, "#f3b765", alias
orange8, "#f3b765", alias
orange-9, "#f8cf8d", alias
orange9, "#f8cf8d", alias
orange-10, "#fae3b7", alias
orange10, "#fae3b7", alias
yellow-1, "#2b2611", alias
yellow1, "#2b2611", alias
yellow-2, "#443b11", alias
yellow2, "#443b11", alias
yellow-3, "#595014", alias
yellow3, "#595014", alias
