Token 名称, 值, 来源类型(seed/map/alias)
blue, "#1677FF", seed
purple, "#722ED1", seed
cyan, "#13C2C2", seed
green, "#52C41A", seed
magenta, "#EB2F96", seed
pink, "#EB2F96", seed
red, "#F5222D", seed
orange, "#FA8C16", seed
yellow, "#FADB14", seed
volcano, "#FA541C", seed
geekblue, "#2F54EB", seed
gold, "#FAAD14", seed
lime, "#A0D911", seed
colorPrimary, "#1677ff", seed
colorSuccess, "#52c41a", seed
colorWarning, "#faad14", seed
colorError, "#ff4d4f", seed
colorInfo, "#1677ff", seed
colorLink, "", seed
colorTextBase, "", seed
colorBgBase, "", seed
fontFamily, "-apple-system， BlinkMacSystemFont， 'Segoe UI'， Roboto， 'Helvetica Neue'， Arial，'Noto Sans'， sans-serif， 'Apple Color Emoji'， 'Segoe UI Emoji'， 'Segoe UI Symbol'，'Noto Color Emoji'", seed
fontFamilyCode, "'SFMono-Regular'， Consolas， 'Liberation Mono'， Menlo， Courier， monospace", seed
fontSize, "14", seed
lineWidth, "1", seed
lineType, "solid", seed
motionUnit, "0.1", seed
motionBase, "0", seed
motionEaseOutCirc, "cubic-bezier(0.08， 0.82， 0.17， 1)", seed
motionEaseInOutCirc, "cubic-bezier(0.78， 0.14， 0.15， 0.86)", seed
motionEaseOut, "cubic-bezier(0.215， 0.61， 0.355， 1)", seed
motionEaseInOut, "cubic-bezier(0.645， 0.045， 0.355， 1)", seed
motionEaseOutBack, "cubic-bezier(0.12， 0.4， 0.29， 1.46)", seed
motionEaseInBack, "cubic-bezier(0.71， -0.46， 0.88， 0.6)", seed
motionEaseInQuint, "cubic-bezier(0.755， 0.05， 0.855， 0.06)", seed
motionEaseOutQuint, "cubic-bezier(0.23， 1， 0.32， 1)", seed
borderRadius, "6", seed
sizeUnit, "4", seed
sizeStep, "4", seed
sizePopupArrow, "16", seed
controlHeight, "32", seed
zIndexBase, "0", seed
zIndexPopupBase, "1000", seed
opacityImage, "1", seed
wireframe, "false", seed
motion, "true", seed
blue, "#1677FF", alias
purple, "#722ED1", alias
cyan, "#13C2C2", alias
green, "#52C41A", alias
magenta, "#EB2F96", alias
pink, "#EB2F96", alias
red, "#F5222D", alias
orange, "#FA8C16", alias
yellow, "#FADB14", alias
volcano, "#FA541C", alias
geekblue, "#2F54EB", alias
gold, "#FAAD14", alias
lime, "#A0D911", alias
colorPrimary, "#1677ff", alias
colorSuccess, "#52c41a", alias
colorWarning, "#faad14", alias
colorError, "#ff4d4f", alias
colorInfo, "#1677ff", alias
colorLink, "#1677ff", alias
colorTextBase, "#000", alias
colorBgBase, "#fff", alias
fontFamily, "-apple-system， BlinkMacSystemFont， 'Segoe UI'， Roboto， 'Helvetica Neue'， Arial，'Noto Sans'， sans-serif， 'Apple Color Emoji'， 'Segoe UI Emoji'， 'Segoe UI Symbol'，'Noto Color Emoji'", alias
